,Coin1,Coin2,24h_Score,24h_P-Value,24h_OLS-Constant,24h_OLS-Coefficient,24h_R-squared,24h_Adjusted-R-squared,,,,,,,,,,,,,,,,
3913,LINK,XRP,-2.13,0.46,-0.02,24.48,0.10,0.10,,,,,,,,,,,,,,,,
4870,TON,XRP,-0.97,0.91,9.70,-11.18,0.10,0.10,,,,,,,,,,,,,,,,
2369,ENA,RUNE,-1.83,0.61,-0.04,0.06,0.10,0.10,,,,,,,,,,,,,,,,
3995,MANA,USDT,-2.33,0.36,-64.06,64.50,0.10,0.10,,,,,,,,,,,,,,,,
482,APT,XMR,-1.90,0.58,16.49,-0.05,0.10,0.10,,,,,,,,,,,,,,,,
645,ARB,RNDR,-1.05,0.89,1.06,0.04,0.10,0.10,,,,,,,,,,,,,,,,
1544,BSV,XMR,-2.25,0.40,123.18,-0.42,0.10,0.10,,,,,,,,,,,,,,,,
3240,GT,HNT,-1.05,0.89,4.57,0.22,0.10,0.10,,,,,,,,,,,,,,,,
1793,CORE,DOT,-1.54,0.75,0.18,0.12,0.10,0.10,,,,,,,,,,,,,,,,
1819,CORE,KCS,-1.76,0.65,0.33,0.07,0.10,0.10,,,,,,,,,,,,,,,,
629,ARB,MKR,-0.99,0.91,0.91,0.00,0.10,0.10,,,,,,,,,,,,,,,,
3591,JASMY,OP,-0.15,0.98,0.00,0.00,0.10,0.10,,,,,,,,,,,,,,,,
2240,DYDX,USDT,-1.66,0.69,-727.75,729.65,0.10,0.10,,,,,,,,,,,,,,,,
1944,CRO,XMR,-1.83,0.61,0.19,0.00,0.10,0.10,,,,,,,,,,,,,,,,
4578,QNT,SOL,-1.10,0.88,96.57,0.08,0.10,0.10,,,,,,,,,,,,,,,,
2051,DOGE,LDO,-1.30,0.83,0.05,0.02,0.10,0.10,,,,,,,,,,,,,,,,
4298,NOT,SHIB,-2.06,0.50,0.00,196.49,0.10,0.10,,,,,,,,,,,,,,,,
931,AXS,TON,-1.77,0.64,6.01,0.30,0.10,0.10,,,,,,,,,,,,,,,,
610,ARB,FTM,-1.04,0.90,1.03,0.52,0.10,0.10,,,,,,,,,,,,,,,,
95,AAVE,XLM,-1.95,0.56,28.58,517.84,0.10,0.10,,,,,,,,,,,,,,,,
782,AVAX,ENA,-1.87,0.59,26.11,11.32,0.10,0.10,,,,,,,,,,,,,,,,
2898,FLOKI,OKB,-0.81,0.93,0.00,0.00,0.10,0.10,,,,,,,,,,,,,,,,
4450,OP,XLM,-1.76,0.65,-0.42,23.97,0.10,0.09,,,,,,,,,,,,,,,,
3083,FTM,NOT,-1.39,0.80,0.44,15.21,0.10,0.09,,,,,,,,,,,,,,,,
674,ATOM,BCH,-1.24,0.85,7.61,0.00,0.10,0.09,,,,,,,,,,,,,,,,
3542,INJ,PEPE,-1.42,0.79,20.20,853312.64,0.10,0.09,,,,,,,,,,,,,,,,
1543,BSV,XLM,-2.06,0.50,-6.08,556.54,0.10,0.09,,,,,,,,,,,,,,,,
4452,OP,XRP,-1.80,0.63,-0.39,5.00,0.10,0.09,,,,,,,,,,,,,,,,
4579,QNT,STRK,-1.24,0.85,100.84,5.60,0.10,0.09,,,,,,,,,,,,,,,,
4451,OP,XMR,-1.87,0.60,5.04,-0.02,0.10,0.09,,,,,,,,,,,,,,,,
4365,OM,SAND,-0.58,0.96,-0.10,0.86,0.10,0.09,,,,,,,,,,,,,,,,
865,AXS,CORE,-1.67,0.69,6.20,0.88,0.10,0.09,,,,,,,,,,,,,,,,
4420,ONDO,XRP,-0.56,0.96,1.69,-2.37,0.10,0.09,,,,,,,,,,,,,,,,
3970,MANA,ONDO,-1.44,0.78,0.41,0.08,0.10,0.09,,,,,,,,,,,,,,,,
4586,QNT,TRX,-1.46,0.78,77.33,251.31,0.09,0.09,,,,,,,,,,,,,,,,
1439,BRETT,RUNE,0.03,0.99,0.00,0.01,0.09,0.09,,,,,,,,,,,,,,,,
4540,PEPE,XLM,-1.71,0.67,0.00,0.00,0.09,0.09,,,,,,,,,,,,,,,,
2215,DYDX,ONDO,-1.36,0.81,1.58,0.88,0.09,0.09,,,,,,,,,,,,,,,,
4471,ORDI,TON,-1.39,0.80,25.03,3.99,0.09,0.09,,,,,,,,,,,,,,,,
3974,MANA,PEPE,-1.24,0.85,0.41,7751.69,0.09,0.09,,,,,,,,,,,,,,,,
4356,OM,OP,-0.43,0.97,0.03,0.10,0.09,0.09,,,,,,,,,,,,,,,,
3178,GALA,XRP,-1.56,0.74,-0.01,0.08,0.09,0.09,,,,,,,,,,,,,,,,
3620,JASMY,XLM,-1.30,0.83,0.04,-0.25,0.09,0.09,,,,,,,,,,,,,,,,
990,BCH,MATIC,-1.29,0.83,152.98,223.17,0.09,0.09,,,,,,,,,,,,,,,,
167,ADA,PEPE,-1.45,0.78,0.40,9824.78,0.09,0.09,,,,,,,,,,,,,,,,
4146,MOG,SAND,1.44,1.00,0.00,0.00,0.09,0.09,,,,,,,,,,,,,,,,
1846,CORE,SEI,-1.39,0.80,0.64,0.72,0.09,0.09,,,,,,,,,,,,,,,,
1517,BSV,PEPE,-1.53,0.75,53.54,1504617.51,0.09,0.09,,,,,,,,,,,,,,,,
977,BCH,HNT,-1.48,0.77,254.87,14.95,0.09,0.09,,,,,,,,,,,,,,,,
1945,CRO,XRP,-1.17,0.87,0.00,0.17,0.09,0.09,,,,,,,,,,,,,,,,
770,AVAX,BRETT,-1.13,0.88,26.26,95.88,0.09,0.09,,,,,,,,,,,,,,,,
3639,JUP,OKB,-0.91,0.92,-0.75,0.02,0.09,0.09,,,,,,,,,,,,,,,,
4881,TRX,XMR,-1.41,0.79,0.15,0.00,0.09,0.09,,,,,,,,,,,,,,,,
2669,ETH,XMR,-0.99,0.90,4605.36,-13.68,0.09,0.09,,,,,,,,,,,,,,,,
1205,BGB,XLM,-1.48,0.77,1.64,-7.55,0.09,0.09,,,,,,,,,,,,,,,,
1822,CORE,LINK,-1.55,0.74,0.33,0.04,0.09,0.09,,,,,,,,,,,,,,,,
3631,JUP,MATIC,-0.93,0.92,-0.24,0.89,0.09,0.08,,,,,,,,,,,,,,,,
1456,BRETT,VET,-0.38,0.97,-0.01,1.26,0.09,0.08,,,,,,,,,,,,,,,,
4688,SAND,USDT,-2.44,0.31,-60.88,61.33,0.09,0.08,,,,,,,,,,,,,,,,
3294,GT,XMR,-1.07,0.89,10.31,-0.03,0.09,0.08,,,,,,,,,,,,,,,,
4936,WLD,XLM,-1.43,0.79,-2.86,55.08,0.09,0.08,,,,,,,,,,,,,,,,
1455,BRETT,USDT,-0.88,0.92,23.27,-23.24,0.09,0.08,,,,,,,,,,,,,,,,
3818,LDO,XLM,-1.76,0.65,0.61,14.22,0.08,0.08,,,,,,,,,,,,,,,,
4389,ONDO,OP,0.37,0.99,0.03,0.14,0.08,0.08,,,,,,,,,,,,,,,,
1458,BRETT,WLD,-0.59,0.96,0.01,0.01,0.08,0.08,,,,,,,,,,,,,,,,
3176,GALA,XLM,-1.39,0.80,-0.01,0.35,0.08,0.08,,,,,,,,,,,,,,,,
3957,LTC,XMR,-2.88,0.14,101.38,-0.18,0.08,0.08,,,,,,,,,,,,,,,,
4947,XMR,XRP,-1.85,0.61,103.43,82.45,0.08,0.08,,,,,,,,,,,,,,,,
1447,BRETT,TAO,0.15,0.99,0.01,0.00,0.08,0.08,,,,,,,,,,,,,,,,
626,ARB,LTC,-1.20,0.86,0.37,0.01,0.08,0.08,,,,,,,,,,,,,,,,
4348,OKB,WIF,-1.61,0.72,49.31,1.42,0.08,0.08,,,,,,,,,,,,,,,,
3833,LEO,OKB,0.29,0.99,2.55,0.04,0.08,0.08,,,,,,,,,,,,,,,,
4419,ONDO,XMR,-0.06,0.98,1.53,-0.01,0.08,0.08,,,,,,,,,,,,,,,,
3261,GT,OKB,-0.62,0.95,1.63,0.08,0.08,0.08,,,,,,,,,,,,,,,,
1868,CORE,XTZ,-1.41,0.79,0.09,0.92,0.08,0.08,,,,,,,,,,,,,,,,
2330,ENA,FLOW,-1.69,0.68,-0.09,0.42,0.08,0.08,,,,,,,,,,,,,,,,
2072,DOGE,QNT,-1.13,0.88,0.02,0.00,0.08,0.08,,,,,,,,,,,,,,,,
2777,FET,QNT,-0.85,0.93,-0.76,0.02,0.08,0.08,,,,,,,,,,,,,,,,
2208,DYDX,MOG,-1.16,0.87,1.62,836296.50,0.08,0.08,,,,,,,,,,,,,,,,
4345,OKB,USDD,-2.35,0.35,407.50,-358.31,0.08,0.08,,,,,,,,,,,,,,,,
2532,EOS,XMR,-2.38,0.34,1.14,0.00,0.08,0.08,,,,,,,,,,,,,,,,
1417,BRETT,LINK,0.09,0.99,-0.01,0.00,0.08,0.08,,,,,,,,,,,,,,,,
712,ATOM,JUP,-1.35,0.81,8.61,0.97,0.08,0.08,,,,,,,,,,,,,,,,
4284,NOT,OKB,-1.81,0.62,0.01,0.00,0.08,0.08,,,,,,,,,,,,,,,,
2521,EOS,TON,-1.60,0.72,0.67,0.02,0.08,0.08,,,,,,,,,,,,,,,,
3570,INJ,XRP,-1.75,0.65,-8.88,58.22,0.08,0.08,,,,,,,,,,,,,,,,
4137,MOG,OP,0.62,0.99,0.00,0.00,0.08,0.08,,,,,,,,,,,,,,,,
2768,FET,NOT,-1.48,0.77,1.01,48.91,0.08,0.08,,,,,,,,,,,,,,,,
727,ATOM,NOT,-1.89,0.59,9.22,-96.19,0.08,0.08,,,,,,,,,,,,,,,,
853,AVAX,XRP,-1.57,0.73,-9.37,68.01,0.08,0.08,,,,,,,,,,,,,,,,
188,ADA,USDT,-1.80,0.63,-71.13,71.57,0.08,0.07,,,,,,,,,,,,,,,,
2339,ENA,IMX,-1.60,0.72,0.02,0.12,0.08,0.07,,,,,,,,,,,,,,,,
4938,WLD,XRP,-1.36,0.81,-2.48,10.95,0.08,0.07,,,,,,,,,,,,,,,,
4102,MNT,QNT,-1.27,0.84,0.15,0.01,0.08,0.07,,,,,,,,,,,,,,,,
4940,XEC,XLM,-1.33,0.82,0.00,0.00,0.08,0.07,,,,,,,,,,,,,,,,
505,AR,EGLD,-0.86,0.93,5.70,0.27,0.08,0.07,,,,,,,,,,,,,,,,
2931,FLOKI,XMR,-1.40,0.80,0.00,0.00,0.08,0.07,,,,,,,,,,,,,,,,
2890,FLOKI,MATIC,-1.08,0.89,0.00,0.00,0.08,0.07,,,,,,,,,,,,,,,,
3813,LDO,USDT,-1.78,0.64,-291.37,293.66,0.07,0.07,,,,,,,,,,,,,,,,
2861,FIL,USDT,-2.02,0.52,-924.64,930.08,0.07,0.07,,,,,,,,,,,,,,,,
3362,HNT,LEO,-1.27,0.84,1.02,0.74,0.07,0.07,,,,,,,,,,,,,,,,
2526,EOS,USDT,-1.71,0.67,-74.97,75.72,0.07,0.07,,,,,,,,,,,,,,,,
852,AVAX,XMR,-1.51,0.76,63.54,-0.23,0.07,0.07,,,,,,,,,,,,,,,,
4445,OP,USDT,-1.63,0.71,-456.83,459.24,0.07,0.07,,,,,,,,,,,,,,,,
3772,KCS,XRP,-1.44,0.78,0.82,13.93,0.07,0.07,,,,,,,,,,,,,,,,
4093,MNT,NOT,-1.42,0.79,0.67,14.54,0.07,0.07,,,,,,,,,,,,,,,,
4921,USDT,XTZ,-5.37,0.00,1.00,0.00,0.07,0.07,,,,,,,,,,,,,,,,
3403,HNT,WIF,-1.24,0.85,3.88,0.51,0.07,0.07,,,,,,,,,,,,,,,,
699,ATOM,FLOKI,-1.24,0.85,8.54,5439.90,0.07,0.07,,,,,,,,,,,,,,,,
1259,BNB,OKB,0.06,0.99,39.29,6.60,0.07,0.07,,,,,,,,,,,,,,,,
2429,ENS,OKB,-0.55,0.96,0.80,0.27,0.07,0.07,,,,,,,,,,,,,,,,
2462,ENS,XMR,-0.71,0.95,31.18,-0.11,0.07,0.07,,,,,,,,,,,,,,,,
4398,ONDO,SAND,0.54,0.99,-0.10,1.04,0.07,0.07,,,,,,,,,,,,,,,,
4387,OM,XRP,-0.92,0.92,1.12,-1.49,0.07,0.07,,,,,,,,,,,,,,,,
90,AAVE,USDT,-2.43,0.31,-9693.26,9783.02,0.07,0.07,,,,,,,,,,,,,,,,
2344,ENA,KCS,-1.84,0.61,-0.07,0.04,0.07,0.07,,,,,,,,,,,,,,,,
3800,LDO,SHIB,-1.63,0.71,2.01,19290.97,0.07,0.07,,,,,,,,,,,,,,,,
1160,BGB,LDO,-0.67,0.95,0.43,0.14,0.07,0.07,,,,,,,,,,,,,,,,
1467,BSV,CORE,-1.79,0.64,51.46,8.78,0.07,0.07,,,,,,,,,,,,,,,,
4317,NOT,XMR,-1.28,0.84,-0.01,0.00,0.07,0.07,,,,,,,,,,,,,,,,
4513,PENDLE,XRP,-1.31,0.83,7.92,-9.42,0.07,0.07,,,,,,,,,,,,,,,,
4166,MOG,XLM,-1.04,0.90,0.00,0.00,0.07,0.07,,,,,,,,,,,,,,,,
635,ARB,NOT,-1.54,0.75,1.31,-21.39,0.07,0.07,,,,,,,,,,,,,,,,
19,AAVE,CORE,-2.06,0.50,82.25,8.03,0.07,0.07,,,,,,,,,,,,,,,,
4520,PEPE,SAND,-0.43,0.97,0.00,0.00,0.07,0.07,,,,,,,,,,,,,,,,
1251,BNB,MATIC,0.25,0.99,186.15,250.67,0.07,0.07,,,,,,,,,,,,,,,,
2312,EGLD,USDD,-1.82,0.62,764.45,-724.30,0.07,0.07,,,,,,,,,,,,,,,,
3558,INJ,TON,-1.42,0.79,18.28,1.58,0.07,0.07,,,,,,,,,,,,,,,,
605,ARB,FET,-0.96,0.91,1.14,0.12,0.07,0.07,,,,,,,,,,,,,,,,
4577,QNT,SHIB,-1.11,0.88,97.40,460648.13,0.07,0.07,,,,,,,,,,,,,,,,
632,ARB,NEAR,-0.93,0.91,1.10,0.05,0.07,0.07,,,,,,,,,,,,,,,,
2376,ENA,SUI,-1.25,0.84,0.02,0.22,0.07,0.07,,,,,,,,,,,,,,,,
663,ARB,USDT,-1.59,0.72,-194.30,195.57,0.07,0.07,,,,,,,,,,,,,,,,
2877,FLOKI,HNT,-1.21,0.86,0.00,0.00,0.07,0.07,,,,,,,,,,,,,,,,
4914,USDT,VET,-5.26,0.00,1.00,0.01,0.07,0.07,,,,,,,,,,,,,,,,
257,AKT,NOT,-1.54,0.75,2.67,83.89,0.07,0.06,,,,,,,,,,,,,,,,
2219,DYDX,PEPE,-1.43,0.79,1.59,75410.22,0.07,0.06,,,,,,,,,,,,,,,,
4052,MKR,NOT,-1.78,0.64,1923.14,36470.97,0.07,0.06,,,,,,,,,,,,,,,,
4155,MOG,TIA,0.60,0.99,0.00,0.00,0.07,0.06,,,,,,,,,,,,,,,,
3357,HNT,JASMY,-1.18,0.86,3.65,64.85,0.07,0.06,,,,,,,,,,,,,,,,
4245,NEO,XRP,-1.60,0.72,3.29,15.80,0.07,0.06,,,,,,,,,,,,,,,,
3407,HNT,XMR,-1.54,0.75,10.27,-0.04,0.07,0.06,,,,,,,,,,,,,,,,
4483,ORDI,XRP,-1.67,0.69,-25.87,115.36,0.06,0.06,,,,,,,,,,,,,,,,
4942,XEC,XRP,-1.58,0.73,0.00,0.00,0.06,0.06,,,,,,,,,,,,,,,,
4920,USDT,XRP,-5.58,0.00,1.00,0.00,0.06,0.06,,,,,,,,,,,,,,,,
2172,DOT,XMR,-1.71,0.67,10.51,-0.03,0.06,0.06,,,,,,,,,,,,,,,,
2347,ENA,LINK,-1.60,0.72,-0.07,0.02,0.06,0.06,,,,,,,,,,,,,,,,
2239,DYDX,USDD,-1.90,0.58,62.27,-60.64,0.06,0.06,,,,,,,,,,,,,,,,
4572,QNT,RNDR,-1.26,0.84,98.42,1.06,0.06,0.06,,,,,,,,,,,,,,,,
4475,ORDI,USDD,-1.93,0.56,1274.05,-1240.99,0.06,0.06,,,,,,,,,,,,,,,,
1352,BONK,QNT,-1.05,0.89,0.00,0.00,0.06,0.06,,,,,,,,,,,,,,,,
3517,IMX,XRP,-1.69,0.68,-0.39,3.83,0.06,0.06,,,,,,,,,,,,,,,,
705,ATOM,GT,-1.20,0.86,7.67,0.25,0.06,0.06,,,,,,,,,,,,,,,,
960,BCH,EGLD,-1.29,0.83,227.86,2.14,0.06,0.06,,,,,,,,,,,,,,,,
677,ATOM,BNB,-1.34,0.82,8.02,0.00,0.06,0.06,,,,,,,,,,,,,,,,
2366,ENA,QNT,-1.56,0.74,0.92,-0.01,0.06,0.06,,,,,,,,,,,,,,,,
1533,BSV,TON,-1.51,0.76,50.60,2.66,0.06,0.06,,,,,,,,,,,,,,,,
3375,HNT,OM,-1.23,0.85,3.88,1.93,0.06,0.06,,,,,,,,,,,,,,,,
1837,CORE,ORDI,-1.27,0.84,0.70,0.01,0.06,0.06,,,,,,,,,,,,,,,,
387,ALGO,XMR,-1.84,0.61,0.28,0.00,0.06,0.06,,,,,,,,,,,,,,,,
1165,BGB,MATIC,-0.77,0.94,0.42,0.44,0.06,0.06,,,,,,,,,,,,,,,,
4665,RUNE,USDT,-2.20,0.43,-950.57,955.18,0.06,0.06,,,,,,,,,,,,,,,,
2988,FLOW,USDT,-1.95,0.55,-117.22,118.00,0.06,0.06,,,,,,,,,,,,,,,,
3825,LEO,MATIC,-0.16,0.98,3.63,1.33,0.06,0.06,,,,,,,,,,,,,,,,
4871,TON,XTZ,0.96,1.00,1.27,2.34,0.06,0.06,,,,,,,,,,,,,,,,
845,AVAX,USDD,-1.76,0.65,677.11,-651.37,0.06,0.06,,,,,,,,,,,,,,,,
4849,TIA,USDD,-1.68,0.69,303.41,-296.24,0.06,0.06,,,,,,,,,,,,,,,,
3562,INJ,USDD,-1.90,0.58,575.79,-554.61,0.06,0.06,,,,,,,,,,,,,,,,
4256,NEXO,QNT,-0.56,0.96,0.41,0.01,0.06,0.06,,,,,,,,,,,,,,,,
4589,QNT,USDD,-1.89,0.59,765.50,-664.38,0.06,0.06,,,,,,,,,,,,,,,,
4010,MATIC,NOT,-1.50,0.76,0.77,-7.97,0.06,0.06,,,,,,,,,,,,,,,,
1446,BRETT,SUI,-0.13,0.98,0.00,0.02,0.06,0.06,,,,,,,,,,,,,,,,
2270,EGLD,JUP,-1.20,0.86,40.56,6.70,0.06,0.06,,,,,,,,,,,,,,,,
4061,MKR,QNT,-1.05,0.89,734.12,12.08,0.06,0.05,,,,,,,,,,,,,,,,
2245,DYDX,XLM,-2.25,0.40,-1.07,25.15,0.06,0.05,,,,,,,,,,,,,,,,
1400,BRETT,FLOW,-0.07,0.98,0.00,0.04,0.06,0.05,,,,,,,,,,,,,,,,
1246,BNB,LDO,-0.18,0.98,225.69,65.05,0.06,0.05,,,,,,,,,,,,,,,,
530,AR,LDO,-1.06,0.89,4.40,5.72,0.06,0.05,,,,,,,,,,,,,,,,
757,ATOM,WIF,-1.23,0.85,8.70,0.32,0.06,0.05,,,,,,,,,,,,,,,,
936,AXS,USDT,-2.13,0.46,-816.49,823.51,0.06,0.05,,,,,,,,,,,,,,,,
4424,OP,PEPE,-1.25,0.85,2.21,50855.48,0.06,0.05,,,,,,,,,,,,,,,,
1409,BRETT,IMX,-0.47,0.97,0.01,0.01,0.06,0.05,,,,,,,,,,,,,,,,
3376,HNT,ONDO,-1.20,0.86,3.93,1.35,0.06,0.05,,,,,,,,,,,,,,,,
669,ARB,XMR,-1.52,0.75,2.16,-0.01,0.06,0.05,,,,,,,,,,,,,,,,
381,ALGO,USDT,-2.03,0.51,-22.74,22.90,0.06,0.05,,,,,,,,,,,,,,,,
3408,HNT,XRP,-1.81,0.63,-1.36,10.33,0.06,0.05,,,,,,,,,,,,,,,,
1377,BONK,XMR,-1.66,0.70,0.00,0.00,0.06,0.05,,,,,,,,,,,,,,,,
3202,GRT,NOT,-1.51,0.76,0.19,4.41,0.06,0.05,,,,,,,,,,,,,,,,
14,AAVE,BRETT,-2.01,0.52,87.08,107.18,0.06,0.05,,,,,,,,,,,,,,,,
317,ALGO,ENA,-2.02,0.52,0.16,0.03,0.05,0.05,,,,,,,,,,,,,,,,
1383,BRETT,CFX,0.25,0.99,0.00,0.13,0.05,0.05,,,,,,,,,,,,,,,,
1221,BNB,EGLD,-0.52,0.96,261.53,2.61,0.05,0.05,,,,,,,,,,,,,,,,
4821,TAO,USDT,-1.09,0.88,-83718.26,84024.04,0.05,0.05,,,,,,,,,,,,,,,,
4927,VET,XRP,-1.67,0.69,0.01,0.04,0.05,0.05,,,,,,,,,,,,,,,,
3906,LINK,USDT,-1.50,0.76,-1831.23,1844.90,0.05,0.05,,,,,,,,,,,,,,,,
4529,PEPE,TIA,-0.75,0.94,0.00,0.00,0.05,0.05,,,,,,,,,,,,,,,,
1700,BTT,USDD,-1.80,0.63,0.00,0.00,0.05,0.05,,,,,,,,,,,,,,,,
716,ATOM,LEO,-1.38,0.80,7.01,0.44,0.05,0.05,,,,,,,,,,,,,,,,
4294,NOT,RON,-1.85,0.60,0.00,0.00,0.05,0.05,,,,,,,,,,,,,,,,
4856,TIA,XMR,-1.40,0.80,21.96,-0.09,0.05,0.05,,,,,,,,,,,,,,,,
3791,LDO,PENDLE,-1.86,0.60,2.12,0.07,0.05,0.05,,,,,,,,,,,,,,,,
3510,IMX,USDT,-1.30,0.83,-370.37,372.12,0.05,0.05,,,,,,,,,,,,,,,,
2371,ENA,SEI,-1.64,0.70,0.09,0.32,0.05,0.05,,,,,,,,,,,,,,,,
1291,BNB,XLM,-1.13,0.87,733.79,-3033.42,0.05,0.05,,,,,,,,,,,,,,,,
2263,EGLD,GT,-1.07,0.89,33.18,1.85,0.05,0.05,,,,,,,,,,,,,,,,
1432,BRETT,ORDI,0.15,0.99,0.01,0.00,0.05,0.05,,,,,,,,,,,,,,,,
3253,GT,MATIC,-0.79,0.94,3.77,2.38,0.05,0.05,,,,,,,,,,,,,,,,
4585,QNT,TON,-1.70,0.68,109.80,-1.64,0.05,0.05,,,,,,,,,,,,,,,,
2285,EGLD,NOT,-1.57,0.73,44.68,-634.12,0.05,0.05,,,,,,,,,,,,,,,,
1135,BGB,EGLD,-0.77,0.94,0.54,0.00,0.05,0.05,,,,,,,,,,,,,,,,
4892,UNI,XMR,-1.69,0.68,12.92,-0.04,0.05,0.05,,,,,,,,,,,,,,,,
4181,NEAR,QNT,-0.74,0.94,-0.20,0.04,0.05,0.05,,,,,,,,,,,,,,,,
4918,USDT,XLM,-5.50,0.00,1.00,0.01,0.05,0.05,,,,,,,,,,,,,,,,
2235,DYDX,TON,-1.37,0.81,1.41,0.14,0.05,0.05,,,,,,,,,,,,,,,,
595,ARB,DOGE,-1.08,0.89,1.04,2.23,0.05,0.05,,,,,,,,,,,,,,,,
4040,MATIC,WIF,-1.06,0.89,0.72,0.03,0.05,0.05,,,,,,,,,,,,,,,,
3697,KAS,QNT,-0.67,0.95,0.03,0.00,0.05,0.05,,,,,,,,,,,,,,,,
587,ARB,BRETT,-1.39,0.80,1.33,-2.12,0.05,0.05,,,,,,,,,,,,,,,,
183,ADA,TON,-1.59,0.73,0.39,0.02,0.05,0.05,,,,,,,,,,,,,,,,
1601,BTC,QNT,-0.45,0.97,21512.46,247.53,0.05,0.05,,,,,,,,,,,,,,,,
1717,CFX,ENA,-1.60,0.72,0.19,0.05,0.05,0.05,,,,,,,,,,,,,,,,
2328,ENA,FIL,-1.63,0.71,-0.02,0.05,0.05,0.05,,,,,,,,,,,,,,,,
599,ARB,ENA,-1.27,0.84,1.32,-0.23,0.05,0.05,,,,,,,,,,,,,,,,
3563,INJ,USDT,-1.69,0.68,-4782.91,4806.61,0.05,0.05,,,,,,,,,,,,,,,,
604,ARB,FDUSD,-1.34,0.82,-63.33,64.60,0.05,0.05,,,,,,,,,,,,,,,,
4893,UNI,XRP,-1.26,0.84,1.51,10.32,0.05,0.05,,,,,,,,,,,,,,,,
476,APT,USDT,-1.74,0.66,-1076.80,1085.33,0.05,0.05,,,,,,,,,,,,,,,,
650,ARB,SHIB,-0.93,0.92,1.11,10951.65,0.05,0.05,,,,,,,,,,,,,,,,
3626,JUP,LDO,-1.15,0.87,0.00,0.19,0.05,0.04,,,,,,,,,,,,,,,,
2323,ENA,EOS,-1.41,0.80,-0.18,0.55,0.05,0.04,,,,,,,,,,,,,,,,
3714,KAS,USDC,-1.38,0.80,74.88,-74.77,0.05,0.04,,,,,,,,,,,,,,,,
4304,NOT,THETA,-2.18,0.44,0.00,0.00,0.05,0.04,,,,,,,,,,,,,,,,
1207,BGB,XRP,-1.31,0.83,1.40,-1.15,0.05,0.04,,,,,,,,,,,,,,,,
1938,CRO,USDT,-1.37,0.81,-12.33,12.43,0.05,0.04,,,,,,,,,,,,,,,,
2166,DOT,USDT,-1.55,0.74,-686.57,693.00,0.05,0.04,,,,,,,,,,,,,,,,
380,ALGO,USDD,-1.80,0.63,2.34,-2.18,0.05,0.04,,,,,,,,,,,,,,,,
1708,BTT,XRP,-1.56,0.74,0.00,0.00,0.05,0.04,,,,,,,,,,,,,,,,
3401,HNT,USDT,-1.59,0.73,-969.93,974.35,0.05,0.04,,,,,,,,,,,,,,,,
1824,CORE,MANA,-1.43,0.79,0.39,1.28,0.05,0.04,,,,,,,,,,,,,,,,
942,AXS,XMR,-1.88,0.59,10.71,-0.02,0.05,0.04,,,,,,,,,,,,,,,,
4570,PYTH,XRP,-1.74,0.66,-0.25,1.06,0.05,0.04,,,,,,,,,,,,,,,,
1479,BSV,FDUSD,-2.41,0.32,-3225.33,3285.04,0.04,0.04,,,,,,,,,,,,,,,,
187,ADA,USDD,-1.54,0.74,6.16,-5.75,0.04,0.04,,,,,,,,,,,,,,,,
1398,BRETT,FIL,-0.29,0.98,0.00,0.00,0.04,0.04,,,,,,,,,,,,,,,,
4307,NOT,TRX,-2.23,0.41,0.00,0.06,0.04,0.04,,,,,,,,,,,,,,,,
676,ATOM,BGB,-1.62,0.71,8.13,1.21,0.04,0.04,,,,,,,,,,,,,,,,
4869,TON,XMR,0.08,0.99,7.29,-0.03,0.04,0.04,,,,,,,,,,,,,,,,
4238,NEO,USDT,-1.45,0.78,-1352.21,1364.34,0.04,0.04,,,,,,,,,,,,,,,,
3293,GT,XLM,-1.43,0.79,9.20,-30.75,0.04,0.04,,,,,,,,,,,,,,,,
2724,FDUSD,TIA,-7.27,0.00,1.00,0.00,0.04,0.04,,,,,,,,,,,,,,,,
2644,ETH,QNT,-0.39,0.97,1406.61,11.06,0.04,0.04,,,,,,,,,,,,,,,,
4875,TRX,USDT,-0.90,0.92,-6.61,6.72,0.04,0.04,,,,,,,,,,,,,,,,
1937,CRO,USDD,-1.81,0.63,1.37,-1.28,0.04,0.04,,,,,,,,,,,,,,,,
985,BCH,LDO,-1.35,0.81,219.65,44.20,0.04,0.04,,,,,,,,,,,,,,,,
4161,MOG,USDT,-0.77,0.94,0.00,0.00,0.04,0.04,,,,,,,,,,,,,,,,
2102,DOT,ENA,-1.72,0.67,6.22,0.96,0.04,0.04,,,,,,,,,,,,,,,,
1388,BRETT,DOT,0.05,0.99,-0.01,0.01,0.04,0.04,,,,,,,,,,,,,,,,
4542,PEPE,XRP,-1.38,0.80,0.00,0.00,0.04,0.04,,,,,,,,,,,,,,,,
1173,BGB,OKB,-0.94,0.91,0.25,0.01,0.04,0.04,,,,,,,,,,,,,,,,
2567,ETC,NOT,-1.60,0.72,22.69,244.83,0.04,0.04,,,,,,,,,,,,,,,,
1867,CORE,XRP,-1.29,0.83,2.29,-2.40,0.04,0.04,,,,,,,,,,,,,,,,
1441,BRETT,SEI,-0.31,0.98,0.01,0.03,0.04,0.04,,,,,,,,,,,,,,,,
305,ALGO,BRETT,-1.32,0.82,0.16,0.25,0.04,0.04,,,,,,,,,,,,,,,,
4535,PEPE,USDT,-1.23,0.85,0.00,0.00,0.04,0.04,,,,,,,,,,,,,,,,
