time,open,high,low,close,MACD,Signal,Daily Percentage Differencing
1724269020,215.36,215.43,215.32,215.43,0.114321144,0.073328701,0.037148827
1724269080,215.43,215.44,215.34,215.34,0.113644951,0.081391951,-0.041776911
1724269140,215.33,215.42,215.33,215.42,0.118201837,0.088753928,0.037150553
1724269200,215.42,215.5,215.42,215.48,0.125211342,0.096045411,0.027852567
1724269260,215.49,215.51,215.42,215.42,0.124489885,0.101734306,-0.027844812
1724269320,215.44,215.46,215.37,215.41,0.121708232,0.105729091,-0.004642095
1724269380,215.42,215.43,215.3,215.31,0.110164678,0.106616209,-0.0464231
1724269440,215.33,215.38,215.31,215.32,0.100662866,0.10542554,0.004644466
1724269500,215.31,215.38,215.27,215.27,0.088082667,0.101956966,-0.023221252
1724269560,215.28,215.35,215.25,215.28,0.078020316,0.097169636,0.004645329
1724269620,215.28,215.34,215.27,215.3,0.070843028,0.091904314,0.009290227
1724269680,215.29,215.31,215.25,215.31,0.06521019,0.086565489,0.004644682
1724269740,215.32,215.32,215.25,215.26,0.056065258,0.080465443,-0.023222331
1724269800,215.27,215.41,215.24,215.36,0.056238712,0.075620097,0.046455449
1724269860,215.36,215.44,215.28,215.315,0.052143969,0.070924871,-0.020895245
1724269920,215.31,215.42,215.31,215.4,0.055122231,0.067764343,0.039477045
1724269980,215.385,215.43,215.27,215.33,0.051243407,0.064460156,-0.032497679
1724270040,215.32,215.48,215.32,215.43,0.05559768,0.062687661,0.046440347
1724270100,215.43,215.6,215.43,215.59,0.071139089,0.064377946,0.074270065
1724270160,215.58,215.62,215.5,215.57,0.080909263,0.06768421,-0.009276868
1724270220,215.57,215.66,215.56,215.56,0.086844194,0.071516207,-0.004638864
1724270280,215.56,215.59,215.475,215.48,0.084122625,0.07403749,-0.037112637
1724270340,215.47,215.54,215.4,215.46,0.079436237,0.07511724,-0.009281604
1724333400,215.57,215.63,215.35,215.56,0.082836518,0.076661095,0.046412327
1724333460,215.61,215.65,215.34,215.43,0.074186179,0.076166112,-0.060308035
1724333520,215.41,215.47,215.31,215.36,0.060979376,0.073128765,-0.032493153
1724333580,215.45,215.69,215.44,215.495,0.060706475,0.070644307,0.062685736
1724333640,215.49,215.57,215.42,215.56,0.064986037,0.069512653,0.030163113
1724333700,215.56,215.56,215.27,215.29,0.046059927,0.064822108,-0.125255149
1724333760,215.32,215.61,215.32,215.46,0.044268132,0.060711312,0.078963259
1724333820,215.45,215.57,215.38,215.54,0.04874159,0.058317368,0.037129862
1724333880,215.57,215.64,215.46,215.53,0.050893256,0.056832546,-0.00463951
1724333940,215.51,215.82,215.51,215.8,0.073537516,0.06017354,0.125272584
1724334000,215.81,215.98,215.81,215.87,0.096024756,0.067343783,0.032437442
1724334060,215.88,216.08,215.88,216.03,0.125312198,0.078937466,0.074118683
1724334120,216.04,216.07,215.92,215.95,0.140448373,0.091239647,-0.037031894
1724334180,216,216.04,215.94,215.98,0.153099812,0.10361168,0.013892105
1724334240,215.99,216.01,215.94,215.96,0.159671738,0.114823692,-0.009260117
1724334300,216.14,216.37,215.97,215.98,0.164596504,0.124778254,0.009260974
1724334360,215.96,215.99,215.51,215.51,0.129086318,0.125639867,-0.217612742
1724334420,215.5,215.54,215.23,215.28,0.0814463,0.116801154,-0.106723586
1724334480,215.34,215.36,215.14,215.23,0.039204732,0.101281869,-0.023225567
1724334540,215.17,215.23,214.94,214.97,-0.015078032,0.078009889,-0.120801004
1724334600,214.97,214.97,214.68,214.7,-0.078973895,0.046613132,-0.125598921
1724334660,214.7,214.74,214.54,214.72,-0.126539327,0.01198264,0.009315324
1724334720,214.72,214.72,214.55,214.61,-0.171138576,-0.024641603,-0.051229508
1724334780,214.62,214.82,214.62,214.82,-0.187378574,-0.057188997,0.097851917
1724334840,214.82,214.95,214.76,214.94,-0.188394202,-0.083430038,0.055860721
1724334900,214.94,215.14,214.87,215,-0.182256654,-0.103195361,0.027914767
1724334960,215,215.08,214.93,214.99,-0.176168755,-0.11779004,-0.004651163
1724335020,215.01,215.01,214.85,214.85,-0.180559505,-0.130343933,-0.065119308
1724335080,214.9,214.96,214.83,214.96,-0.173166963,-0.138908539,0.051198511
1724335140,214.87,214.93,214.77,214.93,-0.167794836,-0.144685798,-0.013956085
1724335200,214.94,214.97,214.81,214.91,-0.163269154,-0.148402469,-0.009305355
1724335260,214.93,214.93,214.77,214.88,-0.160255937,-0.150773163,-0.013959332
1724335320,214.91,214.94,214.79,214.91,-0.153675713,-0.151353673,0.013961281
1724335380,214.9,214.9,214.75,214.81,-0.154746186,-0.152032176,-0.046531106
1724335440,214.8,214.98,214.77,214.89,-0.147439619,-0.151113664,0.037242214
1724335500,214.85,214.96,214.75,214.75,-0.151202968,-0.151131525,-0.065149611
1724335560,214.75,214.81,214.68,214.78,-0.150035188,-0.150912258,0.013969732
1724335620,214.78,214.78,214.57,214.67,-0.156185387,-0.151966884,-0.051215197
1724335680,214.65,214.68,214.45,214.55,-0.168796678,-0.155332843,-0.055899753
1724335740,214.54,214.64,214.49,214.53,-0.178349152,-0.159936104,-0.009321836
1724335800,214.565,214.58,214.5,214.5,-0.186193977,-0.165187679,-0.013984058
1724335860,214.47,214.49,214.2,214.28,-0.207768197,-0.173703783,-0.102564103
1724335920,214.26,214.39,214.23,214.23,-0.22629195,-0.184221416,-0.023333956
1724335980,214.27,214.39,214.23,214.37,-0.227057946,-0.192788722,0.065350324
1724336040,214.36,214.4,214.25,214.35,-0.226665972,-0.199564172,-0.009329664
1724336100,214.29,214.325,214.06,214.07,-0.246111964,-0.20887373,-0.130627478
1724336160,214.06,214.29,214.04,214.28,-0.241790596,-0.215457104,0.098098753
1724336220,214.25,214.33,214.2,214.23,-0.239638065,-0.220293296,-0.023333956
1724336280,214.22,214.27,214.14,214.16,-0.240804736,-0.224395584,-0.032675162
1724336340,214.21,214.21,214.12,214.13,-0.241367744,-0.227790016,-0.014008218
1724336400,214.12,214.22,214.07,214.17,-0.235867334,-0.229405479,0.018680241
1724336460,214.2,214.36,214.13,214.36,-0.213713254,-0.226267034,0.088714573
1724336520,214.33,214.38,214.23,214.26,-0.201897798,-0.221393187,-0.046650494
1724336580,214.28,214.45,214.28,214.4,-0.179171754,-0.2129489,0.065341174
1724336640,214.4,214.47,214.37,214.47,-0.153740559,-0.201107232,0.032649254
1724336700,214.5,214.59,214.48,214.53,-0.12727748,-0.186341282,0.027975941
1724336760,214.52,214.55,214.42,214.53,-0.105093843,-0.170091794,0
1724336820,214.53,214.57,214.43,214.5,-0.088909013,-0.153855238,-0.013984058
1724336880,214.5,214.54,214.36,214.43,-0.080799427,-0.139244076,-0.032634033
1724336940,214.41,214.47,214.35,214.47,-0.070334089,-0.125462078,0.018654106
1724337000,214.43,214.43,214.17,214.26,-0.078085359,-0.115986735,-0.097915792
1724337060,214.24,214.41,214.15,214.41,-0.071302617,-0.107049911,0.070008401
1724337120,214.35,214.4,214.2,214.2,-0.081928075,-0.102025544,-0.097943193
1724337180,214.22,214.31,214.22,214.255,-0.084931746,-0.098606784,0.025676937
1724337240,214.29,214.49,214.29,214.49,-0.067570728,-0.092399573,0.109682388
1724337300,214.42,214.59,214.42,214.56,-0.047614708,-0.0834426,0.032635554
1724337360,214.57,214.57,214.5,214.54,-0.033032473,-0.073360575,-0.009321402
