url,title,views,hashtags
https://www.tiktok.com/@cryptomasun/video/7338112164101623046,Wow! An #XRP ETF with Blackrock would be insane! #crypto #bitcoin #money #greenscreen #greenscreenvideo ,361900,"['xrp', 'crypto', 'bitcoin', 'money', 'greenscreen', 'greenscreenvideo']"
https://www.tiktok.com/@cryptomasun/video/7337485211124436230,Huge announcement coming for XCAD crypto  Here is some speculation on what it could be! #bitcoin #money #crypto #greenscreen ,13500,"['bitcoin', 'money', 'crypto', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7335881913812454662,Huge News For #HBAR ! This is insane! No other crypto has this caliber of partners. #crypto #bitcoin #money ,42400,"['hbar', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7335611311214169349,"My most bullish project for 2024 (not out yet!)  Common Wealth will change the game. This video is NOT sponsored, but I am an advisor helping them grow their project #crypto #bitcoin #money",84100,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7335210817337576709,Huge breaking news for #Ripple #XRP today! 🤝 Buying another company. #crypto #bitcoin #money ,54800,"['ripple', 'xrp', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7335209430792916230,Countries in 2024 that have ZERO TAX on #crypto ‼ #bitcoin #money ,317700,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7333296169600257286,Crypto coins I am buying right now  #crypto #bitcoin #money #cryptoinvesting ,243100,"['crypto', 'bitcoin', 'money', 'cryptoinvesting']"
https://www.tiktok.com/@cryptomasun/video/7332973773970361605,Huge Breaking News For #HBAR  #crypto #bitcoin #money #greenscreen ,318800,"['hbar', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7332972852397772038,"Do not be scared of #crypto taxes, heres a simple fix! #bitcoin #money  ",38000,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7332972440865279237,This is huge #XRP news today! Fully explained in simple terms what is going on! #crypto #bitcoin #money ,268900,"['xrp', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7332188442736020741,New wild #XRP price prediction 🤯 WOW! #crypto #bitcoin #money #greenscreen ,22500,"['xrp', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7332187956129598725,Real estate + crypto is a match made in heaven  #crypto #bitcoin #money #greenscreen ,56200,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7332180724121963781,New #XRP update has now heen confirmed officially! #crypto #money ,54000,"['xrp', 'crypto', 'money']"
https://www.tiktok.com/@cryptomasun/video/7332179972053830917,New HBAR project I am watching! #crypto #bitcoin #money  ,9645,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7331114736005827846,3 crypto coins for a long term portfolio! #crypto #bitcoin #money #greenscreen ,36900,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7331062485421722886,How to do crypto taxes! Beginner tip! #crypto #bitcoin #money #greenscreen ,33200,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7330317915025362182,Ripple #XRP Executive Hack Update #crypto #cryptonews ,30900,"['xrp', 'crypto', 'cryptonews']"
https://www.tiktok.com/@cryptomasun/video/7330287426964901126,Ripple Exec hacked for 100M in #XRP  this is insane #crypto #bitcoin #money ,49800,"['xrp', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7329587539692555526,Better listen up! The worst thing you can do in #crypto!  #cryptocurrency #bitcoin #money ,27600,"['crypto', 'cryptocurrency', 'bitcoin', 'money']"
